address,postal,city,lat,lon
16 Millington St,M4X 1W8,Toronto,43.665799,-79.3661194
542 Dovercourt Rd,M6H 2W6,Toronto,43.656436,-79.4277872
67 Millbrook Cres,M4K 1H5,Toronto,43.6726976,-79.35182890000002
229 Pacific Ave,M6P 2P7,Toronto,43.6598431,-79.4660427
181 Sherwood Ave,M4P 2A9,Toronto,43.7151813,-79.39071249999999
1051 St Clarens Ave,M6H 3X8,Toronto,43.6747741,-79.44844490000001
24 Clinton St,M6J 2P1,Toronto,43.6544789,-79.4137305
99 Davisville Ave,M4S 1G3,Toronto,43.698893,-79.3928924
125 Boulton Dr,M4V 2V5,Toronto,43.6802532,-79.4031278
221 MacDonell Ave,M6R 2A4,Toronto,43.646503,-79.4400301
153 Collier St,M4W 1M2,Toronto,43.6725957,-79.3835495
1400 Dupont St,M6H 2B2,Toronto,43.6668998,-79.44671129999999
175 Harvie Ave,M6E 4K5,Toronto,43.68253,-79.45213269999999
252 Salem Ave,M6H 3C7,Toronto,43.6669814,-79.434529
24 Burton Rd,M5P 1T9,Toronto,43.6931388,-79.41752919999999
119 Hiltz Ave,M4L 2N7,Toronto,43.6673851,-79.3273876
42 Herbert Ave,M4L 3P9,Toronto,43.6707079,-79.3056008
111 Trinity St,M5A 3C7,Toronto,43.65317049999999,-79.3612227
351 Bremner Blvd,M5V 3V4,Toronto,43.6405326,-79.3921972
71 Wales Ave,M5T 1J3,Toronto,43.6527181,-79.40416069999999
48 Glenholme Ave,M6H 3A9,Toronto,43.6766879,-79.43811160000001
596A Mount Pleasant Rd,M4S 2M8,Toronto,43.7036157,-79.38858820000002
19 Edgewood Cres,M4W 3A8,Toronto,43.6875805,-79.3727971
1 Gloucester St,M4Y 1L8,Toronto,43.6664164,-79.3848653
18 Iona Ave,M4C 5J3,Toronto,43.68442659999999,-79.30895749999999
80 Montrose Ave,M6J 2T7,Toronto,43.65217699999999,-79.4169012
31 Heath St W,M4V 1T2,Toronto,43.6896698,-79.3964613
435 Hillsdale Ave E,M4S 1V1,Toronto,43.7058596,-79.3847266
582A Wellington St W,M5V 2X5,Toronto,43.6424864,-79.40352639999999
54 Elm Ave,M4W 1N7,Toronto,43.6758901,-79.37609979999999
